2;1;10.0;140;11
2;1.5;11.5;180;15
2;2.5;12.5;215;21
2;4;14.0;295;28
3;1;10.5;150;11
3;1.5;11.0;200;15
3;2.5;12.0;245;21
3;4;14.0;345;28
4;1;11.5;180;11
4;1.5;12.0;230;15
4;2.5;13.0;290;21
4;4;15.5;410;28
5;1;12.0;190;8
5;1.5;13.0;230;11
5;2.5;14.0;290;15
5;4;16.0;400;20
7;1;13.0;230;7
7;1.5;14.0;270;9
7;2.5;16.0;360;13
7;4;18.0;520;18
10;1;16.0;320;6
10;1.5;17.5;380;8
10;2.5;19.0;490;12
10;4;23.0;750;16
12;1;16.5;360;6
12;1.5;18.0;430;8
12;2.5;20.0;570;11
12;4;24.0;870;15
19;1;19.0;500;5
19;1.5;21.0;630;7
19;2.5;23.0;850;9
19;4;28.0;1300;12
24;1;22.0;620;4
24;1.5;24.0;790;6
24;2.5;27.0;1100;8
24;4;32.0;1600;11
